track_name,artist,popularity,track_id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
The Bones - with Hozier,Maren Morris,77,1yTTMcUhL7rtz08Dsgb7Qb,country,0.561,0.597,11,-6.0,0,0.0405,0.286,0.0,0.0979,0.355,76.826,197299,4
Eyes On You,Chase Rice,73,5AnSllIrgGsCZzZJkVnApx,country,0.606,0.652,9,-6.982,1,0.0281,0.323,0.0,0.201,0.476,97.155,182493,4
Beer Can’t Fix,Thomas Rhett,73,7idmHTAQQPUFqdjXkoooXD,country,0.711,0.774,7,-4.068,1,0.0308,0.0317,0.0,0.124,0.939,111.016,209733,4
Single Saturday Night,Cole Swindell,72,1irAliF0T8sLIOPJp6n7rU,country,0.623,0.79,7,-5.07,1,0.0473,0.118,0.0,0.226,0.694,81.949,187684,4
One Too Many,Keith Urban,77,5NUXE8W12lWcUXgJRCjeEw,country,0.697,0.535,4,-6.504,1,0.068,0.247,0.0,0.569,0.594,82.959,203893,4
This Bar,Morgan Wallen,74,3746VOqCr3ys3lQdhmDoyH,country,0.545,0.884,2,-5.208,1,0.0817,0.115,0.000424,0.0496,0.272,110.015,185733,4
Old Town Road - Remix,Lil Nas X,82,2YpeDb67231RjR0MgVLzsG,country,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,157067,4
Everywhere But On,Matt Stell,72,0ifYeH4gNXEyba41xr3I1w,country,0.563,0.722,6,-3.972,1,0.0279,0.0345,0.0,0.0795,0.309,149.903,192587,4
Simple,Florida Georgia Line,73,4L9Ds4mpD3SuYoWwFUlv16,country,0.362,0.882,3,-3.717,1,0.0973,0.0791,0.0,0.15,0.864,199.811,185200,4
Heartache On The Dance Floor,Jon Pardi,72,0w3Q14i073jLoew1hgJkwD,country,0.596,0.834,9,-4.308,1,0.0474,0.0563,0.0,0.0866,0.618,116.0,205200,4
Tequila,Dan + Shay,75,42fw0rxRO2xbesF6mJfd4Y,country,0.489,0.581,11,-5.731,1,0.0281,0.0312,0.0,0.132,0.494,86.016,196747,4
Song About You,Sam Grow,72,5gRsliQqZLc4tv688SE3wB,country,0.57,0.767,10,-4.287,1,0.0331,0.000895,1.18e-05,0.097,0.713,110.995,180891,4
Fortunate Son,Creedence Clearwater Revival,81,4BP3uh0hFLFRb5cjsgLqDh,country,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,140773,4
Cruise,Florida Georgia Line,71,0i5el041vd6nxrGEU8QRxy,country,0.457,0.948,10,-3.364,1,0.0354,0.0191,0.0,0.0536,0.878,148.0,208960,4
Toes,Zac Brown Band,72,2Esf7NTKQNCPE4G17QvVCs,country,0.8,0.759,11,-5.398,1,0.0378,0.655,0.0,0.0897,0.821,129.979,262773,4
Knee Deep (feat. Jimmy Buffett),Zac Brown Band,72,0b2IVjeD268pYd7VUhmtKI,country,0.715,0.584,8,-8.231,1,0.0296,0.432,1.41e-06,0.095,0.609,90.99,203173,4
Dirt On My Boots,Jon Pardi,72,7f08qp3HROTkfrtNpiYGGo,country,0.683,0.796,11,-4.179,1,0.0285,0.111,0.0,0.197,0.531,90.031,201893,4
Night Shift,Jon Pardi,72,0bPnT6i9H1p8Vd85GS6Z7I,country,0.63,0.754,2,-3.564,1,0.0284,0.0963,0.0,0.268,0.73,95.999,172253,4
I Don't Know About You,Chris Lane,72,3yOs8FffuG6hPbzQG9lIqV,country,0.593,0.81,1,-5.733,1,0.0625,0.602,0.0,0.119,0.712,144.011,207933,4
Small Town Boy,Dustin Lynch,72,2YMhrXQYKkm4kXLcXKKd5z,country,0.554,0.743,9,-6.016,1,0.0287,0.0251,0.0,0.359,0.673,72.997,205733,4
Cool Again,Kane Brown,72,5P3oaNpPDVLRJsL3152SEs,country,0.608,0.735,4,-5.497,1,0.0371,0.0156,1.69e-06,0.361,0.773,90.007,164668,4
Bluebird,Miranda Lambert,72,0kPeZAyIhIfeZNrtfjJGDB,country,0.661,0.633,7,-5.986,1,0.0348,0.038,2.75e-06,0.124,0.613,81.984,209760,4
Nobody But You (Duet with Gwen Stefani),Blake Shelton,72,5M8goiFYynmNxhueYW6grR,country,0.463,0.653,0,-5.515,1,0.0273,0.111,0.000136,0.172,0.233,143.912,194867,4
GIVE HEAVEN SOME HELL,HARDY,73,5nra2uQhiaYKKpemgiDNC3,country,0.639,0.843,11,-4.975,1,0.0362,0.0525,0.0,0.0854,0.528,126.047,217802,4
Up Down (feat. Florida Georgia Line),Morgan Wallen,73,3EWMoDIm6lzuR0zQKtuCJX,country,0.589,0.882,6,-3.039,1,0.035,0.0813,0.0,0.146,0.793,129.915,197253,4
The Way I Talk,Morgan Wallen,73,21LRaD9rB3v7p7DDCZsW4y,country,0.604,0.879,4,-3.388,1,0.0322,0.0468,0.0,0.0909,0.757,137.983,208280,4
Hell Of A View,Eric Church,71,1kBx9VGumfuvlfqdlAGorE,country,0.689,0.582,5,-6.778,1,0.0236,0.119,0.00464,0.101,0.883,99.021,175280,4
House Party,Sam Hunt,72,1TwLKNsCnhi1HxbIi4bAW0,country,0.747,0.861,8,-5.251,1,0.0514,0.113,0.0,0.026,0.859,103.966,190240,4
Head Over Boots,Jon Pardi,71,4ly1QBXEwYoDmje9rmEgC4,country,0.563,0.688,7,-4.474,1,0.0262,0.0763,0.0,0.0863,0.622,108.008,202347,4
Sweet Home Alabama,Lynyrd Skynyrd,82,7e89621JPkKaeDSTQ3avtg,country,0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,283800,4
Loud and Heavy,Cody Jinks,73,0SF38KDlXNLJAxbYyOMnCy,country,0.502,0.685,0,-5.847,0,0.0283,0.000531,1.61e-06,0.0923,0.574,81.978,229928,4
Look What God Gave Her,Thomas Rhett,72,2KqJC0koTBUyDlsMt5ok1V,country,0.739,0.85,2,-3.966,1,0.0308,0.0272,0.0,0.181,0.883,113.0,168960,4
Hotel California - 2013 Remaster,Eagles,83,40riOy7x9W7GXjyGp4pjAv,country,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,391376,4
Panini - DaBaby Remix,Lil Nas X,76,4SDgTLDYrJ2UrHbkRkg7MD,country,0.717,0.598,5,-5.613,0,0.0809,0.22,0.0,0.122,0.496,153.905,151040,4
Drink In My Hand,Eric Church,71,1cktZnxiONH0hR6Q3DKy8h,country,0.626,0.913,0,-4.452,1,0.0318,0.00635,0.0,0.293,0.946,113.044,191307,4
Rainbow,Kacey Musgraves,73,79qxwHypONUt3AFq0WPpT9,country,0.581,0.197,3,-7.697,1,0.0329,0.88,0.0,0.107,0.349,130.367,214293,4
Marry Me,Thomas Rhett,71,0OWZFobGSIW9GrSlQ9C5pc,country,0.333,0.412,3,-8.633,1,0.029,0.0977,0.0,0.113,0.474,85.028,205453,4
Wanted,Hunter Hayes,70,0p1BcEcYVO3uk4KDf3gzkY,country,0.421,0.476,0,-7.692,1,0.0298,0.268,0.0,0.0816,0.3,169.784,228840,4
Grew Up On That,High Valley,71,1dwYdVvxMwMllDgwQuXMGs,country,0.651,0.762,9,-6.084,1,0.0284,0.121,0.0,0.167,0.292,109.959,172067,4
On Me (feat. Ava Max),Thomas Rhett,75,7k6tAZp4m93oswrPqSfBbc,country,0.548,0.721,8,-4.466,1,0.0472,0.0119,0.0,0.216,0.594,177.918,164683,4
Long Live,Florida Georgia Line,71,1OTX8FOeKJt1v9mIxuF8sc,country,0.612,0.842,7,-3.547,1,0.0372,0.185,0.0,0.151,0.596,129.973,152373,4
Hate You Like I Love You,Granger Smith,71,7fv8w55N7T95xtX72TycwQ,country,0.658,0.672,3,-6.284,1,0.0265,0.0429,0.0,0.126,0.805,115.017,173827,4
Slow Dance In A Parking Lot,Jordan Davis,72,6MBUUSIWCzaXW4q58Ktrv9,country,0.523,0.837,7,-4.494,1,0.0335,0.301,0.0,0.172,0.523,82.006,193929,4
H.O.L.Y.,Florida Georgia Line,72,0BCy325UZyR9z0t0uxwn2N,country,0.523,0.666,7,-4.081,0,0.0327,0.401,0.0,0.0728,0.564,78.077,194187,4
Dust On The Bottle,David Lee Murphy,70,0Xg68XXMRWzKQvD5S6BFvI,country,0.736,0.614,11,-11.124,1,0.0389,0.0237,5.84e-06,0.292,0.858,99.942,224667,4
I Hope (feat. Charlie Puth),Gabby Barrett,73,5cYFwgA5dHoqR3xGnlr9ew,country,0.554,0.576,6,-6.495,1,0.0399,0.171,0.0,0.159,0.409,74.942,209763,4
American Kids,Kenny Chesney,71,1dgWTMoHwTUnQhOQ8SR5fV,country,0.733,0.589,7,-7.37,1,0.1,0.0476,5.85e-06,0.0366,0.867,170.097,182960,4
Seaside,Billy Currington,71,6uLhIbdIXQ4DGeOA8qFesw,country,0.599,0.832,6,-5.631,0,0.0348,0.00698,0.0,0.0514,0.509,99.981,180598,4
One Number Away,Luke Combs,72,4gB7HrYHbJVJ5RFOjxmoq4,country,0.544,0.781,6,-6.16,0,0.0311,0.00585,0.0,0.191,0.527,144.075,221800,4
Every Other Memory,Ryan Hurd,71,3t2xlkvPsrcyia0eBaCZ53,country,0.633,0.732,0,-6.995,1,0.0351,0.000475,0.0,0.108,0.515,103.019,219193,4
Barefoot Blue Jean Night,Jake Owen,71,3ts6xK5GzfMAAriT9AIBmP,country,0.6,0.808,4,-4.679,1,0.0403,0.208,0.0,0.196,0.809,172.016,167427,4
Knockin' Boots,Luke Bryan,72,6ERR6e7h6wCqGoz1TjiUJb,country,0.739,0.682,2,-3.728,1,0.205,0.129,0.0,0.328,0.634,131.983,199382,4
The Other Guy,Luke Combs,72,0jcZ1uIHmvh6Is9T6hXOUk,country,0.567,0.726,6,-4.705,1,0.0309,0.216,0.0,0.12,0.319,141.92,190720,4
The Good Ones,Gabby Barrett,72,3hLuHKzG1cmlRpq53ZVWd8,country,0.519,0.552,2,-5.023,1,0.0259,0.18,0.0,0.149,0.331,89.957,215141,4
Greatest Love Story,LANCO,71,2yQZwi1P8AkkxxFhQ8rMEK,country,0.669,0.617,10,-8.72,1,0.057,0.401,0.0,0.119,0.621,147.992,222573,4
Does To Me (feat. Eric Church),Luke Combs,72,0nGXi46VcQQ56ZJR428MKS,country,0.616,0.849,0,-4.897,1,0.0373,0.311,0.0,0.311,0.638,113.065,223320,4
Homesick,Kane Brown,71,30RZAuEkYeDXvy46Iv6l7E,country,0.701,0.5,8,-8.82,1,0.0303,0.46,0.0,0.234,0.409,97.028,205400,4
It's A Great Day To Be Alive,Travis Tritt,70,3oW6SWwGqiZSPTiAp7ZQoH,country,0.595,0.653,7,-4.935,1,0.0265,0.246,0.0,0.264,0.542,128.93,241533,4
Lonely If You Are,Chase Rice,70,5TI10v8sy9VPp5YhVRVK1f,country,0.681,0.726,7,-5.1,1,0.0453,0.162,0.0,0.119,0.819,84.98,176729,4
Better Than We Found It,Maren Morris,72,6IVLDX1miNBy1BOWebnMP2,country,0.379,0.569,10,-5.193,1,0.029,0.112,3.19e-06,0.166,0.23,170.219,197216,3
Good as You,Kane Brown,71,19kUPdKTp85q9RZNwaXM15,country,0.634,0.516,8,-6.05,1,0.0373,0.4,0.0,0.142,0.769,153.831,192053,4
In Color,Jamey Johnson,69,7CNd7rjfVt74TFlcOcnZgN,country,0.544,0.404,3,-8.751,1,0.0354,0.391,3.98e-06,0.157,0.251,129.518,290680,4
More Than a Feeling,Boston,79,1QEEqeFIZktqIpPI4jSVSF,country,0.377,0.682,7,-8.039,1,0.0299,0.000894,0.00217,0.0504,0.288,108.736,285133,4
Spin You Around,Morgan Wallen,71,1yj1ZztSGITJ5Nf4mfH92c,country,0.517,0.877,4,-3.621,1,0.0297,0.00147,0.0,0.208,0.616,150.004,212850,4
Why We Drink,Justin Moore,71,4lSfhHd5Knwl8yQw2cVjAD,country,0.624,0.903,6,-3.046,1,0.0347,0.00824,0.0,0.309,0.724,116.99,211430,4
Neon Moon,Brooks & Dunn,70,3EUl8M6SzxZl03NPkB8mUd,country,0.702,0.632,9,-6.508,1,0.0247,0.554,0.0,0.127,0.457,102.404,263500,4
Talkin' Tennessee,Morgan Wallen,71,7szRiHu6r91o2Po9GTPN4c,country,0.702,0.711,6,-6.697,0,0.0248,0.568,0.0,0.104,0.498,99.988,221880,4
Broken Up,Mitchell Tenpenny,72,1Jn0osXy1WcDyniHgs67jT,country,0.578,0.869,2,-4.483,1,0.0355,0.0149,0.0,0.346,0.699,160.072,185023,4
Every Little Thing,Russell Dickerson,70,3kgCJPXDlnL5bl1HFesHUi,country,0.637,0.853,1,-4.664,1,0.109,0.216,0.0,0.0357,0.861,93.87,190640,4
What Hurts The Most,Rascal Flatts,70,4bVuIlGQBMWS7vIhcx8Ae4,country,0.537,0.674,5,-5.134,0,0.0277,0.0088,0.0,0.265,0.33,136.002,214107,4
Bless The Broken Road,Rascal Flatts,71,4YjjNHtEsTX6Af4mCTupT5,country,0.591,0.45,0,-6.369,1,0.0266,0.671,2.23e-05,0.159,0.344,135.893,226680,4
Hard To Love,Lee Brice,70,6E9V9TRlVOLjenGjHemzEH,country,0.638,0.722,9,-6.177,1,0.0332,0.0119,0.00808,0.189,0.469,103.017,224293,4
Cold As You,Luke Combs,71,7IWV29mryrqtO0JVgnPtfv,country,0.598,0.846,6,-4.956,1,0.0355,0.0527,0.0,0.113,0.328,144.04,186107,4
Life is a Highway,Rascal Flatts,73,2Fs18NaCDuluPG1DHGw1XG,country,0.582,0.952,5,-3.848,1,0.0731,0.00324,0.0,0.223,0.655,103.027,276320,4
Take It Easy - 2013 Remaster,Eagles,76,4yugZvBYaoREkJKtbG08Qr,country,0.575,0.67,7,-10.39,1,0.0318,0.343,4.95e-06,0.129,0.74,139.191,211578,4
Check Yes Or No,George Strait,69,6iy4PoAuZBMvtrlDX4VxC7,country,0.708,0.524,5,-12.644,1,0.0352,0.0551,3.21e-06,0.0371,0.69,111.482,200667,4
Talk You Out Of It,Florida Georgia Line,70,4qQwGRtGT7l6ckQtdPEFd4,country,0.651,0.708,4,-4.791,1,0.0376,0.582,0.0,0.0796,0.558,119.964,202920,4
Blue Tacoma,Russell Dickerson,70,5PBx0zFfehUMyv5H4YXVAU,country,0.458,0.897,9,-4.879,1,0.0402,0.0183,0.0,0.174,0.728,160.131,212067,4
Yours,Russell Dickerson,70,3I4WFddKpe2PGZWFh7f10J,country,0.554,0.722,11,-6.005,1,0.034,0.119,0.0,0.0861,0.558,134.058,216960,4
If I Know Me,Morgan Wallen,71,03d8S7FBY2kIzhP0E7l4rn,country,0.777,0.604,8,-5.813,1,0.12,0.765,6.79e-05,0.11,0.672,99.934,157693,4
Get Along,Kenny Chesney,70,6n6OQfBpCgzF9oEg8zhBN7,country,0.632,0.804,7,-6.109,1,0.0503,0.101,0.0,0.17,0.35,92.456,199625,4
Dive - Recorded At Sound Stage Nashville,Luke Combs,71,2VWBdFsDJVGlRTdz4PvYwy,country,0.742,0.363,1,-8.188,1,0.0282,0.671,1.43e-06,0.145,0.351,130.921,260863,3
Drift Away,Uncle Kracker,71,0RFgvrhkf9FiDRLA0BhzpZ,country,0.583,0.66,11,-5.078,1,0.0377,0.181,0.0,0.0979,0.861,151.956,255560,4
This Is How We Roll,Florida Georgia Line,69,2TR7A4ulH9R1PNwMyd8o8U,country,0.555,0.931,8,-2.969,1,0.0367,0.016,0.0,0.405,0.723,132.085,220907,4
I Could Use a Love Song,Maren Morris,71,09iyGiljLWRYXdRazFkdtJ,country,0.638,0.634,6,-6.474,1,0.0468,0.214,0.0,0.0866,0.473,92.097,196422,4
Blue Ain't Your Color,Keith Urban,69,6wycnu8FWXsj68ig7BEot9,country,0.69,0.416,7,-7.865,1,0.0335,0.617,1.37e-06,0.102,0.479,82.45,230600,3
Free Fallin',Tom Petty,78,5tVA6TkbaAH9QMITTQRrNv,country,0.623,0.449,5,-13.333,1,0.0253,0.212,0.0,0.0613,0.572,84.383,256000,4
Be A Light,Thomas Rhett,70,5o6dFqafETxZNqUFt9ZqAC,country,0.509,0.493,0,-6.676,1,0.0266,0.0397,1.32e-06,0.102,0.264,97.846,173961,4
"1, 2 Many",Luke Combs,72,226le7T3p82reYWzsi9Hsz,country,0.54,0.821,6,-3.789,1,0.0873,0.0397,0.0,0.423,0.685,148.798,180907,4
Next Girl,Carly Pearce,70,4QpWhd7l2NrmGmfw4qGlpa,country,0.583,0.867,11,-4.17,1,0.0637,0.143,0.0,0.0863,0.962,160.096,164678,4
Kinfolks,Sam Hunt,70,52lGuLAkIVbm4LZkSf9nj0,country,0.569,0.807,0,-4.584,1,0.0464,0.0876,0.0,0.164,0.883,76.011,181933,4
All Your'n,Tyler Childers,70,0fCwTrRNfoNk962ati8n2K,country,0.585,0.55,11,-7.342,1,0.0255,0.408,3.97e-05,0.115,0.839,78.176,218280,4
That's My Kind Of Night,Luke Bryan,70,5HGibWoxnkYSkl6mHmAlOE,country,0.661,0.751,7,-2.909,1,0.0481,0.0571,0.0,0.105,0.875,109.995,190187,4
9 to 5,Dolly Parton,76,4w3tQBXhn5345eUXDGBWZG,country,0.554,0.783,6,-5.852,1,0.0457,0.416,1.54e-06,0.631,0.813,105.39,162467,4
Burn 'Em All,Kameron Marlowe,70,2UBvtKeetnXn6lMnsBUrZz,country,0.632,0.886,11,-3.986,0,0.054,0.115,0.0,0.136,0.637,114.951,185306,4
Diamond In My Pocket,Cody Johnson,69,24Nt4OalWDICkEKVy81X6k,country,0.546,0.838,7,-3.51,1,0.0319,0.27,1.24e-05,0.0841,0.719,151.914,196907,4
I Don't Dance,Lee Brice,69,5aj0xPGiEUN3aI2oOYu14S,country,0.587,0.559,1,-7.742,1,0.0321,0.399,6.69e-06,0.0992,0.19,92.036,221173,4
